request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_27,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_28,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_29,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_30,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_31,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_32,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_33,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_34,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_35,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_36,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_37,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_38,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_39,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_40,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_41,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_42,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_43,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_44,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_45,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_46,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_47,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_48,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_49,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_50,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_51,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_52,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_53,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_54,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_55,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_56,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_57,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_58,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_59,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_60,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_61,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_62,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
request_63,0,not_affordable,not_recommended,none,,none,placeholder: decision logic not yet implemented
